quarter,ticker,revenue_growth_yoy,gross_margin,operating_cash_flow_margin,net_income_margin,guide_change
2024-03-31,NVDA,0.33099999999999996,0.608,0.20800000000000002,0.16399999999999998,mixed
2024-06-30,NVDA,0.345,0.612,0.21300000000000002,0.16799999999999998,mixed
2024-09-30,NVDA,0.359,0.616,0.21800000000000003,0.172,mixed
2024-12-31,NVDA,0.373,0.62,0.22300000000000003,0.176,mixed
2025-03-31,NVDA,0.387,0.624,0.228,0.18,stable
2025-06-30,NVDA,0.401,0.628,0.233,0.18399999999999997,stable
2025-09-30,NVDA,0.41500000000000004,0.632,0.23800000000000002,0.18799999999999997,raised
2025-12-31,NVDA,0.42900000000000005,0.636,0.24300000000000002,0.19199999999999998,raised
2026-03-31,NVDA,0.44299999999999995,0.64,0.24800000000000003,0.19599999999999998,raised
2024-03-31,TSLA,0.2465,0.542,0.16950000000000004,0.131,mixed
2024-06-30,TSLA,0.2605,0.546,0.17450000000000004,0.135,mixed
2024-09-30,TSLA,0.2745,0.55,0.17950000000000005,0.139,mixed
2024-12-31,TSLA,0.2885,0.554,0.18450000000000005,0.14300000000000002,mixed
2025-03-31,TSLA,0.3025,0.558,0.18950000000000003,0.14700000000000002,stable
2025-06-30,TSLA,0.3165,0.562,0.19450000000000003,0.151,stable
2025-09-30,TSLA,0.3305,0.5660000000000001,0.19950000000000004,0.155,stable
2025-12-31,TSLA,0.34450000000000003,0.5700000000000001,0.20450000000000004,0.159,stable
2026-03-31,TSLA,0.3585,0.5740000000000001,0.20950000000000005,0.163,stable
2024-03-31,SNDK,0.2555,0.554,0.17650000000000002,0.13699999999999998,mixed
2024-06-30,SNDK,0.2695,0.558,0.18150000000000002,0.141,mixed
2024-09-30,SNDK,0.28350000000000003,0.562,0.18650000000000003,0.145,mixed
2024-12-31,SNDK,0.2975,0.5660000000000001,0.1915,0.149,mixed
2025-03-31,SNDK,0.3115,0.5700000000000001,0.1965,0.15299999999999997,stable
2025-06-30,SNDK,0.3255,0.5740000000000001,0.2015,0.15699999999999997,stable
2025-09-30,SNDK,0.3395,0.5780000000000001,0.20650000000000002,0.16099999999999998,stable
2025-12-31,SNDK,0.35350000000000004,0.5820000000000001,0.21150000000000002,0.16499999999999998,stable
2026-03-31,SNDK,0.3675,0.5860000000000001,0.21650000000000003,0.16899999999999998,stable
2024-03-31,PLTR,0.31300000000000006,0.5840000000000001,0.19400000000000003,0.152,mixed
2024-06-30,PLTR,0.32700000000000007,0.5880000000000001,0.19900000000000004,0.156,mixed
2024-09-30,PLTR,0.3410000000000001,0.5920000000000001,0.20400000000000004,0.16,mixed
2024-12-31,PLTR,0.355,0.5960000000000001,0.20900000000000002,0.164,mixed
2025-03-31,PLTR,0.369,0.6000000000000001,0.21400000000000002,0.16799999999999998,stable
2025-06-30,PLTR,0.383,0.6040000000000001,0.21900000000000003,0.172,stable
2025-09-30,PLTR,0.397,0.6080000000000001,0.22400000000000003,0.176,raised
2025-12-31,PLTR,0.41100000000000003,0.6120000000000001,0.22900000000000004,0.18,raised
2026-03-31,PLTR,0.42500000000000004,0.6160000000000001,0.23400000000000004,0.184,raised
2024-03-31,AMD,0.251,0.548,0.17300000000000001,0.13399999999999998,mixed
2024-06-30,AMD,0.265,0.552,0.17800000000000002,0.13799999999999998,mixed
2024-09-30,AMD,0.279,0.556,0.18300000000000002,0.142,mixed
2024-12-31,AMD,0.293,0.56,0.188,0.146,mixed
2025-03-31,AMD,0.307,0.5640000000000001,0.193,0.14999999999999997,stable
2025-06-30,AMD,0.321,0.5680000000000001,0.198,0.15399999999999997,stable
2025-09-30,AMD,0.335,0.5720000000000001,0.203,0.15799999999999997,stable
2025-12-31,AMD,0.349,0.5760000000000001,0.20800000000000002,0.16199999999999998,stable
2026-03-31,AMD,0.363,0.5800000000000001,0.21300000000000002,0.16599999999999998,stable
2024-03-31,AVGO,0.2825,0.5900000000000001,0.19750000000000004,0.155,mixed
2024-06-30,AVGO,0.2965,0.5940000000000001,0.20250000000000004,0.159,mixed
2024-09-30,AVGO,0.3105,0.5980000000000001,0.20750000000000005,0.163,mixed
2024-12-31,AVGO,0.32449999999999996,0.6020000000000001,0.21250000000000002,0.167,mixed
2025-03-31,AVGO,0.33849999999999997,0.6060000000000001,0.21750000000000003,0.17099999999999999,stable
2025-06-30,AVGO,0.3525,0.6100000000000001,0.22250000000000003,0.175,stable
2025-09-30,AVGO,0.3665,0.6140000000000001,0.22750000000000004,0.179,raised
2025-12-31,AVGO,0.38049999999999995,0.6180000000000001,0.23250000000000004,0.183,raised
2026-03-31,AVGO,0.39449999999999996,0.6220000000000001,0.23750000000000004,0.187,raised
2024-03-31,TSM,0.26449999999999996,0.566,0.1835,0.143,mixed
2024-06-30,TSM,0.27849999999999997,0.57,0.1885,0.147,mixed
2024-09-30,TSM,0.2925,0.574,0.1935,0.151,mixed
2024-12-31,TSM,0.30649999999999994,0.578,0.1985,0.155,mixed
2025-03-31,TSM,0.32049999999999995,0.582,0.2035,0.15899999999999997,stable
2025-06-30,TSM,0.33449999999999996,0.586,0.2085,0.16299999999999998,stable
2025-09-30,TSM,0.3485,0.59,0.2135,0.16699999999999998,raised
2025-12-31,TSM,0.36249999999999993,0.594,0.2185,0.17099999999999999,raised
2026-03-31,TSM,0.37649999999999995,0.598,0.2235,0.175,raised
2024-03-31,ARM,0.242,0.536,0.16600000000000004,0.128,mixed
2024-06-30,ARM,0.256,0.54,0.17100000000000004,0.132,mixed
2024-09-30,ARM,0.27,0.544,0.17600000000000005,0.136,mixed
2024-12-31,ARM,0.284,0.548,0.18100000000000005,0.14,mixed
2025-03-31,ARM,0.298,0.552,0.18600000000000003,0.14400000000000002,stable
2025-06-30,ARM,0.312,0.556,0.19100000000000003,0.148,stable
2025-09-30,ARM,0.326,0.56,0.19600000000000004,0.152,stable
2025-12-31,ARM,0.33999999999999997,0.5640000000000001,0.20100000000000004,0.156,stable
2026-03-31,ARM,0.354,0.5680000000000001,0.20600000000000004,0.16,stable
2024-03-31,SOUN,0.21050000000000002,0.494,0.14150000000000001,0.107,mixed
2024-06-30,SOUN,0.22450000000000003,0.498,0.14650000000000002,0.111,mixed
2024-09-30,SOUN,0.23850000000000002,0.502,0.15150000000000002,0.11499999999999999,mixed
2024-12-31,SOUN,0.2525,0.506,0.15650000000000003,0.119,mixed
2025-03-31,SOUN,0.2665,0.51,0.1615,0.123,stable
2025-06-30,SOUN,0.2805,0.514,0.1665,0.127,stable
2025-09-30,SOUN,0.29450000000000004,0.518,0.1715,0.131,stable
2025-12-31,SOUN,0.3085,0.522,0.17650000000000002,0.135,stable
2026-03-31,SOUN,0.3225,0.526,0.18150000000000002,0.139,stable
2024-03-31,CRWV,0.26349999999999996,0.518,0.1555,0.119,mixed
2024-06-30,CRWV,0.27749999999999997,0.522,0.1605,0.123,mixed
2024-09-30,CRWV,0.2915,0.526,0.1655,0.127,mixed
2024-12-31,CRWV,0.3055,0.53,0.17049999999999998,0.131,mixed
2025-03-31,CRWV,0.3195,0.534,0.1755,0.135,stable
2025-06-30,CRWV,0.3335,0.538,0.1805,0.13899999999999998,stable
2025-09-30,CRWV,0.34750000000000003,0.542,0.1855,0.143,stable
2025-12-31,CRWV,0.36150000000000004,0.546,0.1905,0.147,stable
2026-03-31,CRWV,0.37549999999999994,0.55,0.1955,0.151,stable
